column,dtype,nulls,nans,total,null_rate,nan_rate
dep_ts_utc,timestamp,12102,0,478025,0.025317,0.0
arr_ts_utc,timestamp,12102,0,478025,0.025317,0.0
OP_CARRIER_AIRLINE_ID,int,0,0,478025,0.0,0.0
CRS_DEP_TIME,int,0,0,478025,0.0,0.0
ARR_DELAY_NEW,double,0,0,478025,0.0,0.0
origin_airport_id,int,0,0,478025,0.0,0.0
dest_airport_id,int,0,0,478025,0.0,0.0
FL_DATE,date,0,0,478025,0.0,0.0
FL_NUM,int,0,0,478025,0.0,0.0
year,int,0,0,478025,0.0,0.0
month,string,0,0,478025,0.0,0.0
WEATHER_DELAY,double,0,0,478025,0.0,0.0
NAS_DELAY,double,0,0,478025,0.0,0.0
alpha_nas,double,0,0,478025,0.0,0.0
total_weather_delay,double,0,0,478025,0.0,0.0
label_wx_15,int,0,0,478025,0.0,0.0
label_wx_30,int,0,0,478025,0.0,0.0
label_wx_45,int,0,0,478025,0.0,0.0
label_wx_60,int,0,0,478025,0.0,0.0
label_wx_90,int,0,0,478025,0.0,0.0
